frame,object_type,confidence,tracking_id,x1,y1,x2,y2,license_plate,mx1,my1,mx2,my2,license_plate_text
139.0,license plate,tensor([0.3075]),-1,335,210,371,221,True,335,210,371,221,not detected
139.0,license plate,tensor([0.1233]),-1,435,178,455,186,True,435,178,455,186,at) |
140.0,car,tensor([0.8830]),"tensor([1], dtype=torch.int32)",467,139,668,242,False,0,0,0,0,
140.0,car,tensor([0.8753]),"tensor([2], dtype=torch.int32)",253,153,402,250,False,0,0,0,0,
140.0,car,tensor([0.8117]),"tensor([3], dtype=torch.int32)",373,151,470,214,False,0,0,0,0,
140.0,car,tensor([0.7760]),"tensor([4], dtype=torch.int32)",235,146,274,179,False,0,0,0,0,
140.0,person,tensor([0.6247]),"tensor([5], dtype=torch.int32)",132,142,160,213,False,0,0,0,0,
140.0,license plate,tensor([0.6484]),"tensor([1], dtype=torch.int32)",340,212,378,224,True,340,212,378,224,not detected
141.0,car,tensor([0.8858]),"tensor([1], dtype=torch.int32)",467,139,668,242,False,0,0,0,0,
141.0,car,tensor([0.8788]),"tensor([2], dtype=torch.int32)",255,152,411,252,False,0,0,0,0,
141.0,car,tensor([0.7867]),"tensor([3], dtype=torch.int32)",375,150,470,210,False,0,0,0,0,
141.0,car,tensor([0.7397]),"tensor([4], dtype=torch.int32)",235,146,275,178,False,0,0,0,0,
141.0,person,tensor([0.6049]),"tensor([5], dtype=torch.int32)",132,140,160,212,False,0,0,0,0,
141.0,license plate,tensor([0.6585]),"tensor([1], dtype=torch.int32)",626,208,660,218,True,626,208,660,218,ae =
142.0,car,tensor([0.8869]),"tensor([1], dtype=torch.int32)",466,139,668,242,False,0,0,0,0,
142.0,car,tensor([0.8729]),"tensor([2], dtype=torch.int32)",259,152,419,254,False,0,0,0,0,
142.0,car,tensor([0.7976]),"tensor([3], dtype=torch.int32)",377,150,470,212,False,0,0,0,0,
142.0,car,tensor([0.7345]),"tensor([4], dtype=torch.int32)",235,146,273,178,False,0,0,0,0,
142.0,person,tensor([0.6197]),"tensor([5], dtype=torch.int32)",131,141,160,213,False,0,0,0,0,
142.0,license plate,tensor([0.7308]),"tensor([1], dtype=torch.int32)",354,215,393,229,True,354,215,393,229,not detected
